Weather_Conditions,total,H00,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,M01,M02,M03,M04,M05,M06,M07,M08,M09,M10,M11,M12
Wind,1891,17,18,15,12,7,13,30,60,122,98,101,132,129,144,133,137,144,173,134,79,59,54,44,35,223,164,175,238,131,80,17,28,68,254,129,384
Fine,112284,1475,1053,835,697,591,863,1911,4801,8267,5862,5407,6074,7013,6957,7058,8812,9422,10055,7857,5537,4093,3042,2667,1928,7045,7835,7563,8810,9661,10500,12146,10560,9872,9719,10287,8286
Fog,619,15,6,6,5,15,24,57,113,105,29,22,12,13,14,15,9,27,33,26,18,10,12,17,16,111,44,114,18,10,7,8,16,53,56,31,151
Other,2412,34,35,19,17,27,48,94,173,237,155,99,87,97,94,112,137,147,187,166,130,103,66,82,66,451,229,238,81,78,74,78,76,136,226,355,390
Rain-Wind,2156,42,31,25,19,15,29,51,65,107,67,78,91,88,103,106,109,166,228,200,173,122,96,86,59,179,82,93,48,129,61,13,31,111,369,181,859
Rain,14562,257,191,171,131,74,168,343,649,1007,646,544,623,694,691,706,1007,1179,1453,1178,836,692,513,434,375,965,749,1168,535,1257,964,599,915,1572,2444,1870,1524
Snow-Wind,522,7,2,4,7,3,8,21,32,32,41,20,21,26,22,27,32,31,48,33,35,21,19,17,13,107,108,278,6,0,0,0,0,0,2,5,16
Snow,1737,28,26,21,19,13,31,59,87,144,117,94,112,99,92,80,118,111,107,93,78,76,49,41,42,909,305,459,27,2,2,0,1,2,1,10,19
Unknown,2477,31,32,17,29,29,31,54,83,181,119,105,129,139,149,122,196,216,218,196,131,108,68,51,43,236,205,196,199,181,155,151,147,198,251,300,258
