Month,Wind,Fine,Fog,Other,Rain-Wind,Rain,Snow-Wind,Snow,Unknown,Total
1,223,7045,111,451,179,965,107,909,236,10226
2,164,7835,44,229,82,749,108,305,205,9721
3,175,7563,114,238,93,1168,278,459,196,10284
4,238,8810,18,81,48,535,6,27,199,9962
5,131,9661,10,78,129,1257,0,2,181,11449
6,80,10500,7,74,61,964,0,2,155,11843
7,17,12146,8,78,13,599,0,0,151,13012
8,28,10560,16,76,31,915,0,1,147,11774
9,68,9872,53,136,111,1572,0,2,198,12012
10,254,9719,56,226,369,2444,2,1,251,13322
11,129,10287,31,355,181,1870,5,10,300,13168
12,384,8286,151,390,859,1524,16,19,258,11887
