Hour,No-Lights,Lights-Unknown,Lights,Lights-Unlit,Daylight,Total,,
0,364,62,1390,36,54,1906,,
1,292,52,989,32,29,1394,,
2,249,36,772,28,28,1113,,
3,194,35,663,9,35,936,,
4,148,47,465,13,101,774,,
5,242,56,500,23,394,1215,,
6,327,106,645,27,1515,2620,,
7,207,123,502,40,5191,6063,,
8,32,5,49,26,10090,10202,,
9,5,1,8,14,7106,7134,,
10,8,1,12,15,6434,6470,,
11,6,2,10,13,7250,7281,,
12,6,2,14,13,8263,8298,,
13,6,1,10,17,8232,8266,,
14,5,4,18,13,8319,8359,,
15,52,13,162,29,10301,10557,,
16,377,78,1628,64,9296,11443,,
17,752,334,3112,85,8219,12502,,
18,743,276,3381,52,5431,9883,,
19,690,243,2919,52,3113,7017,,
20,664,197,2777,56,1590,5284,,
21,673,140,2571,50,485,3919,,
22,696,115,2456,43,129,3439,,
23,557,87,1853,30,50,2577,,
