Hour,Dry,Flood,Ice,Snow,Wet,Unknown,Total,
0,1211,9,31,28,625,2,1906,
1,868,3,36,13,473,1,1394,
2,687,4,30,22,368,2,1113,
3,526,2,32,21,351,4,936,
4,478,3,40,12,238,3,774,
5,655,9,87,32,427,5,1215,
6,1384,8,191,70,961,6,2620,
7,3515,7,420,98,2012,11,6063,
8,6543,8,468,167,2990,26,10202,
9,4838,3,220,140,1926,7,7134,
10,4697,7,100,88,1567,11,6470,
11,5405,6,58,116,1681,15,7281,
12,6328,4,45,104,1800,17,8298,
13,6390,8,43,93,1719,13,8266,
14,6501,4,38,111,1694,11,8359,
15,8057,11,48,132,2295,14,10557,
16,8466,14,65,125,2755,18,11443,
17,8920,18,83,119,3336,26,12502,
18,6919,11,80,98,2745,30,9883,
19,4877,9,83,77,1956,15,7017,
20,3516,14,83,65,1600,6,5284,
21,2533,9,67,57,1250,3,3919,
22,2215,11,70,41,1096,6,3439,
23,1600,8,48,45,869,7,2577,
